"Timestamp","Please include your role or affiliation here.","What three challenges are you currently facing? ","What are the key three metrics of success for you? ","What are your top three priorities?","What are your top three objectives for a digital presence?","Are there any barriers or resource constraints we should be aware of?","Who is your target online audience?","Please mark how much you agree or disagree with the following statements: [Our digital offerings are as strong as our physical offerings]","Please mark how much you agree or disagree with the following statements: [Our current priorities are to reach a specialist/research audience, rather than a generalist/public audience.]","Please mark how much you agree or disagree with the following statements: [For future growth of our collection, we wish to prioritise the needs of a specialist/research audience, rather than a generalist/public audience.]","Please mark how much you agree or disagree with the following statements: [Our physical/offline collections are a higher priority than our digital/online offerings.]","Please mark how much you agree or disagree with the following statements: [We need to grow the size of our physical collections rather than change how they are shared with audiences. ]","Please mark how much you agree or disagree with the following statements: [Increasing the quantity of visitors to our existing collection is a higher priority than updating these collections for our current audience.]","Please mark how much you agree or disagree with the following statements: [We want our digital offerings to be an online representation or catalog of our offline/physical collections, rather than as novel independent collections.]","Please mark how much you agree or disagree with the following statements: [We want our digital presence to be a source of information about how to access our collections rather than an access point to the collections themselves.]","Please mark how much you agree or disagree with the following statements: [Attracting traffic to our online offerings is a greater barrier than matching online offerings to a digital audience.]","Please mark how much you agree or disagree with the following statements: [Members of our target audience are aware of how to access our collection.]","Please mark how much you agree or disagree with the following statements: [Members of our target audience can easily navigate our collection/database without the guidance of a collections expert.]","Please mark how much you agree or disagree with the following statements: [Our collections are easily accessible for those with physical disabilities.]","Please mark how much you agree or disagree with the following statements: [Our collections are easily accessible for those with sensory impairments.]","How do museums know that database users are able to access what they seek? How easily is this done?","Which of the following does your museum expect the ThinkLab CCC project to devise solutions for?"
"2022/04/26 8:29:26 pm CET","Curator of a natural history collection ","Lack of capacity - staff, time, infrastructure","Use of collections – numbers/days/tours/events for in-person visits by researchers and members of public; Online access to collections including database records and images plus downloads/export by users; Publications produced from research using collections","Refine workflow to digitise (database and image) specimens, make data available online, and serve it to data aggregators such as GBS; Facilitate research use of collections including being able to provide overview of collections as well as specific search results for taxa collectors time periods geographic locations of interest;
Secure funding for staff and students/volunteer coordination to work on digitisation of collections","Easy and intuitive to use; Ability to search and display records using advanced filters; use of biodiversity data standards (eg. TDWG, MIDS","Currently the staff complement for the University Herbarium The University Herbarium contains an estimated 1.1 million specimens, but very little of the material is databased (this is not the problem you might think it is in terms of using collection: the collection is self indexing so if you know the plant you are looking for, you go to the correct place in the sequence of folders of specimens and see what material we hold for that taxon, but it does mean that searches for 'do you have any specimens collected by X?' or 'how many specimens from country Y do you have?' are very difficult/time-consuming to answer). We do have various excel spreadsheets (some using commonly accepted, standardised fields, others not), some old access databases, and a few other datasets, which have between a few hundred and several or even tens of thousands of specimens recorded in them, plus some hardcopy printed, typed, or handwritten lists of specimens, which could potentially be subjects for OCR/AI/ML data mining.","Global audience of professional and 'amateur' researchers – botanical, conservation/biodiversity, historical, etc, plus general public, students, artists, family historians, policymakers","Strongly Disagree","Strongly Agree","Somewhat Agree","Neutral","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","","Joining up our collections via a joint, aggregating portal through which each of our separate platforms/databases can be reached? Streamlining "
"2022/05/06 10:44:37 am CET","Library Manager (Biological Sciences)","Lack of space, disparate communities, lack of cohesive delivery across School","Visits/usage, successful resolution of enquiries, demonstrable impact on learning outcomes","Ensuring all users have access on their terms, reaching out to underrepresented communities, reducing barriers to entry for non-university affiliated user groups","Usable for all, adaptable depending on needs, consistent experience/look and feel","Lack of staffing, lack of connections at relevant levels in School, complex structures creating challenges with signoff and consistency of delivery","Anyone - however more practically speaking people who are unable to attend our spaces in person for whatever reason (external, distance students, on site students who are time poor etc.)","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Responding as a librarian here but if I transposed this question to our library catalogue my honest answer would be I don't know! We only know if there is a problem if people ask us and they don't always do that. I suspect our tech people might have better data insights.","Both"
"2022/05/06 10:56:05 am CET","librarian in a department library","Too much work, too little time","Number of students using the library, number of email enquiries answered,","Students getting the resources they need in a timely manner, faculty getting support from us in a timely manner, us not having a backlog of admin tasks","Broadcasting information, creating an image of the library that looks modern, approachable and welcoming","Us not having any design experience or enough creative freedom","mainly current students","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","","Both"
"2022/05/06 10:56:22 am CET","University Library","Hidden collections (no metadata at all, or no published metadata); inadequate/patchy collection management metadata (e..g for locations of materials); challenges around lack of flexibility in staffing (e.g. hard to move staff to meet priorities ) ","Increased usage of collections metadata; use of the collection materials (either on site or in citations); publishing or improving more collections metadata","Establishing services for digital collection materials; digitisation and preservation of time-sensitive media (e.g. analogue audio visual carriers); improving collection management metadata (e.g. locations of archive materials). ","Excellent user experience
Accessible user experience
maximim functionality- e.g. accessing collection materials online or being able to order them online","Archive function is not sufficiently resourced to maximise the opportunities provided by implementation of archive management system, or to keep pace with the volume of materials collected. 
There is wide variation in levels of digital skills and confidence in curatorial staff presenting barriers to effective and efficient working. 
Silo working","Global research community","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","","Both"
"2022/05/06 11:34:52 am CET","Cambridge University Library","shortage of staff - 1.5 vacancies","reducing cataloguing backlogs ; feeling thatt I am keeping on top of things","reducing cataloguing backlogs ; resuming full library service in my area ; spending acquisition budget","make as much material available online as possible ; put card catalogue online","staff ; money for scanning","general public and researchers","Strongly Disagree","Neutral","Somewhat Disagree","Neutral","Neutral","Neutral","Somewhat Disagree","Neutral","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Don't really understand the question","Both"
"2022/05/06 12:00:52 pm CET","library assistant","lack of time, lack of staff, lack of support from senior management","visibility of collections, accessibility of collections, acknowledgement of the value of the collections","collection management, process important donated material, develop space and opportunities for showcasing highlights of collections","highlights of the collections, research support services, visibility and accessibility","lack of time, lack of staff, lack of support from senior management","international research community","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Better information literacy from the off - perhaps partner with school library staff to understand where to begin","Don't know"
"2022/05/06 12:18:09 pm CET","Librarian","1. How to get students/researchers to make use of the material we have.  This is not just a case of promotion.  It is more of a case of there being more and more information available and helping them make use of the information and services we have to offer. We have to justify immediate relevance in amongst their competing time pressures - you cannot just provide the information and hope that people will find and make use of it.
2. Technological challenges and barriers.  More and more information is available to users, in a variety of ways.  There is also a quick turnover of technology, all requiring new learning or differing access.  Whilst the users skills are generally improving, there is a widening gap between those who have good technology skills and those with poorer skills.  Also, technology available to access this information is becoming more disparate.  Many people do not have the skills to use the information needed, and it is often assumed that everyone has these skills and so basics do not need to be taught. Students (and staff and fellows) are often embarrassed to ask about things they feel they should already know. 
3. The assumption that 'everything is electronic now and so should be available immediately'.   Many books and textbooks or journals are not available electronically and so print copies still need to be used.  This can mean that it might take longer than expected for someone to get to use an item.  Also, many items are not available to buy as even out of print copies can be unavailable.  Added to this there are people who prefer print over electronic, and vice versa.  Also there preferences change when looking at the type of material, or even the time of day.  This can mean the we are expected to provide information in both print and electronic format,  extending our costs and workload.
4. Covid implications.  Work and study patterns changed over the pandemic and we don;t know how much these new ways of working will stay, or if people will revert to how they used to work before covid - practically it will probably be a hybrid version, but it makes this more difficult to plan for the future.","1. Results from our yearly library questionnaire. Both factual and subjective answers are asked for. 
2. Simple library figures like numbers from our automatic gate counts, borrowing/viewing figures from the Library Management system or ebooks@Cambridge team, accession numbers etc.  ","1. To keep the library running to the same standards in the face of diminishing resources, ensuring that library users do not find a lowering of standards. (To be like a swan!)
2. To get to know our users again, and to get them to communicate with us.  Face to face interactions have been at a minimum over the pandemic and so there is a legacy of students struggling by themselves.  It is now harder to break the perceived barrier between library users (especially students) and the library staff.  Once the 'barrier' has been broken then the student usualy starts to make more use of our service and will come in and ask the non-important, 'silly' little questions that can make access to information so much easier for them.
3. To encourage the students into the physical library again.  They have become used ot working remotely, so much so that we believe a few of them are not using the print resources they are required to use (e.g. when information is not available electronically).  We need to try to break down the barrier again, to prove our relevance to them, not just in terms of academic resources, but by using attractions like our Light Reading collection, board game collection etc to get them to visit us in person.  Once this has happened, some of them then begin to use the library and make use of more of our resources.","1. We have just updated our web page, and for example, created a new accessibility page for the library.  We plan to help with a library study skills web page leter this summer too.  the information on the main college web page should be easlity accessable and immediately relevant. 
2. Our objective is to find the best way to communicate with students and to provide the information in that format.  We use facebook as the main form of communication for non-urgent matters.  (Email for urgent things).  We are willing to change, perhaps to instagram or twitter if the students would prefer it, but for the short term, they say facebook is still the preferred form of communication (maybe not for 1st year undergrads, but it is for the other years).  This is something that we are keeping track of and are willing to move on quickly as things change.  
3. More fun items to hook students in to supporting and using the library, and well as more academic interaction with outwith College.  We do engage digitally with students, College and the outside world but we could do a lot more if we had more time.  We also contribute to forums, conferences, non-library blogs, libguides etc.  Vague future plans are more fun campaigns (e.g. digital advent calendars, setting up a 'treasure hunt' type of induction for students at the start of the year), but we are stretched to provide the basic library services at the moment and these things get done when we have space to plan and think.  I have wanted to set up the treasure hunt to run alongside our formal inductions for about 3 years now but I have't had time to plan or implement this ... hopefully it may happen this summer, but this will depend on staffing levels.
4. To continue to answer queries and emails as fast as possible,  Reaction times are important - users expect quick answers when they ask a question.","Technological skills, staffing time and levels, budgets, busy times of the year, e.g. the exam period or the start of term.  Librarians work tends ot be reactive, so it can be difficult to plan for free periods to work on new projects.  We never know what we need to respond to until we get a query in.
Collaborative efforts work well with libraries - everyone has differing skills and often college libraries are doing the same projects as each other so we often work on projects together to save time and energy.  ","Our main target audience is students on taught courses (e.g. undergrads and MPHils) but we also serve phds, staff and fellows.","Neutral","Neutral","Somewhat Disagree","Neutral","Neutral","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","A variety of ways, so hopefully we will get an idea, even if we won't know the response from all users.   Some students will come and ask us/email if they have problems accessing what they need; some will let us know later (e.g. questionnaire time); some will go to their fac/dep library for help, some will ask for online help from the app/web page etc themselves.  More should be done to access opinions from those people who do not interact with libraries very well.","I hadn't really heard much about ThinkLab before this questionnaire"
"2022/05/06 2:57:31 pm CET","College librarian","1. Financial pressures of increased demand for ebooks without a corresponding decrease in demand for print books.
2. Having a cohort of students who did not get the usual friendly welcome to the library (Freshers week induction tours) and who have mostly seen us as ""mask monitors"" as our main visible presence for the past two years. 
3. Merging another collection into our main library collection. ","1. Bums on seats
2. Loan figures
3. Feedback from students that the library service has had a positive impact on their time at Cambridge (most of our feedback is informally gathered through conversations and ""feedback wall"" whiteboards, but we do a survey every couple of years or so)","1. Collection development
2. Outreach
3. Ensuring we have an ongoing feedback loop (see above)","1. Sharing news from the library
2. Highlighting interesting items from the collection
3. Signal boosting other library and adjacent courses/events/collections that our College members would find useful.","Staff time - we only have 1.5 FTE in our team. ","1. Our primary users (undergraduate students)
2. Other members of the College community who may be less aware of the library's activities","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","","Sorry if I wasn't supposed to answer this page! - Librarian here."
"2022/05/10 11:42:39 am CET","Librarian, Scott Polar Research Institute","Funding needed to digitise a card catalogue, Funding needed to purchase additional bookcases and new study desks/chairs, stock moves","1.) Improving the quality of study space
2.) improving accessibility
3.) Satisfying and increasing the number of users","1.) To create space by: digitising the card catalogue, withdrawing pamphlets and relegating journal backruns to the off site store
2.) To purchase new furniture
3.) To improve the library's accessibility.","1.) To digitise the contents of the card catalogue (which contains 220,000 bibliographic records of journal articles published up to 1985 
2.) To be able to differentiate journal articles from books in the iDiscover catalogue or remove the journal article records
3.) To make our web site more exciting.","My library is seen as low priority as far as the University Library is concerned. The resource constraints are unclear","Researchers interested in the polar regions and/or glaciology","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Don't know","Both"
"2022/05/12 5:30:11 pm CET","Director of Zoology Museum (and co-Lead of CCC SRI)","1. ongoing building infrastructure problems
2. income generation to fund museum positions
3. limited staff capacity","1. staff wellbeing, happiness at work, and high levels of engagement
2. income generation (by any means)
3. visitor number and diversity","1. keeping staff happy at work
2. generating income (by any means)
3. high numbers of diverse visitors","1. widen access to our collections (by anyone)
2. participatory research using our collections (by anyone)
3. greater website traffic and followers on twitter (partly to drive up visitors and income in the real world)","staff capacity for new work is very limited","anyone - though priorities would be schools and academic researchers","Somewhat Disagree","Neutral","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","we only know if we are contacted by a potential database user","new ways of exploring the collections and making connections with other material in the Cambridge collections"
